0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,0.20599139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28150046,0.0,0.0,0.0,0.055692848,0.0,0.0,0.065658055,0.057343032,0.0,0.0,0.0,0.08774624,0.0,0.0,0.0,0.0,0.24606802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024900023,0.01593347,0.0,0.0,0.0047247238,0.0,0.033383053,0.030891793,0.0,0.09796895,0.13454635,0.0,0.0,0.0,0.0,0.0,0.1507268,0.03524352,0.032296807,0.037746284,0.074774645,0.030312538,0.016941579,0.0,0.0,0.04018086,0.0,0.0,0.012507882,0.0,0.031450354,0.0,0.050827887,0.038059648,0.052070547,0.054512255,0.0
0.0,0.03119566,0.0,0.089879535,0.0,0.0,0.0,0.0,0.021551207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943529,0.27501926,0.0,0.0,0.0,0.027017543,0.0,0.014913282,0.0,0.0,0.080908045,0.0,0.0,0.022450184,0.031862125,0.045547318,0.28022054,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049530927,0.19302323,0.14305268,0.0,0.0,0.0,0.08108188,0.0,0.13744374,0.0,0.0,0.0,0.0,0.0,0.0,0.115217164,0.08749923,0.108175494,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091939345,0.73084915,0.0,0.0,0.0
0.0,0.14270623,0.037830006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057303727,0.0,0.0,0.0,0.0,0.0,0.0,0.058428254,0.13254274,0.0,0.0,0.0,0.0,0.06311322,0.0,0.04757376,0.0,0.0,0.18336752,0.037353043,0.0,0.04158104,0.07220359,0.062584735,0.063412115,0.0,0.0
0.031270027,0.022446042,0.0,0.0,0.0,0.0,0.051242363,0.0,0.0,0.0,0.0,0.29228324,0.0,0.0,0.0,0.0,0.0,0.013228197,0.07277222,0.06368989,0.047539447,0.07897531,0.035279665,0.0,0.0,0.057589926,0.0,0.0,0.00046440808,0.038655438,0.0,0.0,0.022030326,0.0,0.071442984,0.012790043,0.088300444
0.16464867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10959802,0.0,0.0,0.0,0.0,0.060030334,0.0,0.0,0.0,0.0,0.52181345,0.0,0.0,0.0,0.04120394,0.027983626,0.0,0.0,0.07472199
0.0,0.0,0.0,0.0,0.0,0.0,0.045502037,0.02871642,0.0,0.0,0.0,0.17115171,0.0,0.0,0.0,0.0,0.11983185,0.073607005,0.0,0.0,0.0,0.122757435,0.0,0.020260973,0.0,0.06328595,0.0,0.0,0.07286165,0.0,0.0,0.0,0.020378714,0.024324445,0.06994007,0.026082655,0.1412991
0.057944298,0.11776073,0.0,0.0,0.0,0.0,0.022812173,0.04154291,0.09629054,0.0,0.0,0.0,0.050178688,0.0,0.0,0.0,0.0,0.05199702,0.015193226,0.0,0.0,0.0,0.0,0.0632018,0.0,0.059536114,0.0,0.0,0.051732343,0.0,0.01847404,0.08487031,0.10078221,0.098002814,0.0140707195,0.0,0.055610098
