model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,2,12,Cefepime,9968,0.8827326882032598
species_multihead_no_enrichment,2,13,Cefixime,2913,0.7836200279922344
species_multihead_no_enrichment,2,14,Cefotaxime,3748,0.8885357309611289
species_multihead_no_enrichment,2,15,Cefoxitin,1197,0.9545077222802609
species_multihead_no_enrichment,2,16,Cefpodoxime,1323,0.9054322343548695
species_multihead_no_enrichment,2,17,Ceftazidime,7626,0.8483554950880291
species_multihead_no_enrichment,2,18,Ceftolozane-Tazobactam,21,0.6851851851851851
species_multihead_no_enrichment,2,19,Ceftriaxone,5427,0.8977448556023964
species_multihead_no_enrichment,2,20,Cefuroxime,6671,0.8864442990118394
species_multihead_no_enrichment,2,21,Chloramphenicol,1534,0.9549039605643379
species_multihead_no_enrichment,2,22,Ciprofloxacin,12152,0.8790688186706428
species_multihead_no_enrichment,2,23,Clarithromycin,277,0.7786678534342085
species_multihead_no_enrichment,2,24,Clindamycin,3393,0.8989140572671886
species_multihead_no_enrichment,2,25,Colistin,7609,0.9745696407922713
species_multihead_no_enrichment,2,26,Cotrimoxazol,298,0.8152901785714286
species_multihead_no_enrichment,2,27,Cotrimoxazole,5643,0.8560000467431343
species_multihead_no_enrichment,2,28,Daptomycin,3593,0.871820508718605
species_multihead_no_enrichment,2,29,Doxycycline,166,0.5678346810422281
species_multihead_no_enrichment,2,30,Ertapenem,7205,0.9273808757124149
species_multihead_no_enrichment,2,31,Erythromycin,3507,0.8960319518783125
species_multihead_no_enrichment,2,32,Fluconazole,62,1.0
species_multihead_no_enrichment,2,33,Fosfomycin,5901,0.7498455076619785
species_multihead_no_enrichment,2,34,Fusidic acid,2535,0.8532370144028821
species_multihead_no_enrichment,2,35,Gentamicin,8265,0.9163951492243484
species_multihead_no_enrichment,2,36,Gentamicin_high_level,140,0.7519116397621071
species_multihead_no_enrichment,2,37,Imipenem,11485,0.9716837680698758
species_multihead_no_enrichment,2,38,Itraconazole,56,0.42788461538461536
species_multihead_no_enrichment,2,39,Levofloxacin,9167,0.892568362197298
species_multihead_no_enrichment,2,40,Linezolid,3965,0.9111729957805907
species_multihead_no_enrichment,2,41,Meropenem,9688,0.942699079226544
species_multihead_no_enrichment,2,42,Meropenem_with_meningitis,23,0.5952380952380952
species_multihead_no_enrichment,2,43,Micafungin,62,0.9152542372881356
species_multihead_no_enrichment,2,44,Minocycline,1938,0.8866736356563439
species_multihead_no_enrichment,2,45,Moxifloxacin,175,0.9830724426647252
species_multihead_no_enrichment,2,46,Mupirocin,1653,0.9611480455524778
species_multihead_no_enrichment,2,47,Nitrofurantoin,4235,0.9028766897877878
species_multihead_no_enrichment,2,48,Norfloxacin,5007,0.8734570761997353
species_multihead_no_enrichment,2,49,Oxacillin,3157,0.915181903276131
species_multihead_no_enrichment,2,50,Penicillin,3495,0.9521765422745274
species_multihead_no_enrichment,2,51,Penicillin_with_meningitis,54,0.6360225140712945
species_multihead_no_enrichment,2,52,Penicillin_with_other_infections,54,0.5912698412698413
species_multihead_no_enrichment,2,53,Penicillin_with_pneumonia,54,0.7692307692307693
species_multihead_no_enrichment,2,54,Piperacillin,3680,0.8956054086511511
species_multihead_no_enrichment,2,55,Piperacillin-Tazobactam,5915,0.8779120409920385
species_multihead_no_enrichment,2,56,Polymyxin B,505,0.9989692101740295
species_multihead_no_enrichment,2,57,Posaconazole,61,0.5333333333333333
species_multihead_no_enrichment,2,58,Pristinamycin,1358,0.9666590071015112
species_multihead_no_enrichment,2,59,Rifampicin,2354,0.8866662006942988
species_multihead_no_enrichment,2,60,Strepomycin_high_level,21,0.7403846153846154
species_multihead_no_enrichment,2,61,Teicoplanin,2891,0.951376260074987
species_multihead_no_enrichment,2,62,Tetracycline,3378,0.9094115403214422
species_multihead_no_enrichment,2,63,Ticarcillin,1676,0.9118707443533203
species_multihead_no_enrichment,2,64,Tigecycline,3713,0.9913105895583183
species_multihead_no_enrichment,2,65,Tobramycin,8954,0.8936436067297464
species_multihead_no_enrichment,2,66,Vancomycin,4271,0.9714484178029328
species_multihead_no_enrichment,2,67,Voriconazole,62,0.29508196721311475
species_multihead_no_enrichment,3,0,Amikacin,8823,0.8834849809641285
species_multihead_no_enrichment,3,1,Amoxicillin,51,0.9409937888198758
species_multihead_no_enrichment,3,2,Amoxicillin-Clavulanic acid,5725,0.91851818635197
species_multihead_no_enrichment,3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8857142857142857
species_multihead_no_enrichment,3,4,Ampicillin,4313,0.9553010254087472
species_multihead_no_enrichment,3,5,Anidulafungin,54,0.7738095238095238
species_multihead_no_enrichment,3,6,Azithromycin,40,0.79296875
species_multihead_no_enrichment,3,7,Aztreonam,4371,0.8519719714104306
