antibiotic,ATC2,ATC3,ATC4,mechanism,beta_lactamase_inhibitor,metadata_found,model_mode,fold
Fosfomycin,J01,J01X,J01XX,cell_wall,0.0,1,bio_prior_gated_species_head,2
Fusidic acid,J01,J01X,J01XC,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Gentamicin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Gentamicin_high_level,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Imipenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,2
Itraconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,2
Levofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Linezolid,J01,J01X,J01XX,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Meropenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,2
Meropenem_with_meningitis,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,2
Micafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,2
Minocycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Moxifloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Mupirocin,D06,D06A,D06AX,antifungal,0.0,1,bio_prior_gated_species_head,2
Nitrofurantoin,J01,J01X,J01XE,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Norfloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Oxacillin,J01,J01C,J01CF,cell_wall,0.0,1,bio_prior_gated_species_head,2
Penicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Penicillin_with_meningitis,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Penicillin_with_other_infections,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Penicillin_with_pneumonia,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Piperacillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Piperacillin-Tazobactam,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,2
Polymyxin B,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,2
Posaconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,2
Pristinamycin,J01,J01F,J01FG,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Rifampicin,J04,J04A,J04AB,DNA_RNA,0.0,1,bio_prior_gated_species_head,2
Strepomycin_high_level,J01,J01G,J01GA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Teicoplanin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Tetracycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Ticarcillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Tigecycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Tobramycin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,2
Vancomycin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,2
Voriconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,2
Amikacin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Amoxicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Amoxicillin-Clavulanic acid,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,3
Amoxicillin-Clavulanic acid_uncomplicated_HWI,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,3
Ampicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Anidulafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,3
Azithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Aztreonam,J01,J01D,J01DF,cell_wall,0.0,1,bio_prior_gated_species_head,3
Benzylpenicillin,J01,J01C,J01CE,cell_wall,0.0,1,bio_prior_gated_species_head,3
Caspofungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefazolin,J01,J01D,J01DB,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefepime,J01,J01D,J01DE,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefixime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefotaxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefoxitin,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefpodoxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,3
Ceftazidime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,3
Ceftolozane-Tazobactam,J01,J01D,J01DI,cell_wall,1.0,1,bio_prior_gated_species_head,3
Ceftriaxone,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,3
Cefuroxime,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,3
Chloramphenicol,J01,J01B,J01BA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Ciprofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Clarithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Clindamycin,J01,J01F,J01FF,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Colistin,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,3
Cotrimoxazol,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,3
Cotrimoxazole,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,3
Daptomycin,J01,J01X,J01XX,membrane,0.0,1,bio_prior_gated_species_head,3
Doxycycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Ertapenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,3
Erythromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Fluconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,3
Fosfomycin,J01,J01X,J01XX,cell_wall,0.0,1,bio_prior_gated_species_head,3
Fusidic acid,J01,J01X,J01XC,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Gentamicin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Gentamicin_high_level,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Imipenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,3
Itraconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,3
Levofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Linezolid,J01,J01X,J01XX,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Meropenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,3
Meropenem_with_meningitis,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,3
Meropenem_without_meningitis,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,3
Micafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,3
Minocycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Moxifloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Mupirocin,D06,D06A,D06AX,antifungal,0.0,1,bio_prior_gated_species_head,3
Nitrofurantoin,J01,J01X,J01XE,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Norfloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Oxacillin,J01,J01C,J01CF,cell_wall,0.0,1,bio_prior_gated_species_head,3
Penicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Penicillin_with_meningitis,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Penicillin_with_other_infections,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Penicillin_with_pneumonia,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Piperacillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Piperacillin-Tazobactam,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,3
Polymyxin B,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,3
Posaconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,3
Pristinamycin,J01,J01F,J01FG,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Rifampicin,J04,J04A,J04AB,DNA_RNA,0.0,1,bio_prior_gated_species_head,3
Strepomycin_high_level,J01,J01G,J01GA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Teicoplanin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Tetracycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Ticarcillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Tigecycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Tobramycin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,3
Vancomycin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,3
Voriconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,3
5-Fluorocytosine,J02,J02A,J02AX,antifungal,0.0,1,bio_prior_gated_species_head,4
Amikacin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,4
Amoxicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,4
Amoxicillin-Clavulanic acid,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,4
Amoxicillin-Clavulanic acid_uncomplicated_HWI,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,4
Ampicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,4
Anidulafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,4
Azithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,4
Aztreonam,J01,J01D,J01DF,cell_wall,0.0,1,bio_prior_gated_species_head,4
Benzylpenicillin,J01,J01C,J01CE,cell_wall,0.0,1,bio_prior_gated_species_head,4
Caspofungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,4
Cefazolin,J01,J01D,J01DB,cell_wall,0.0,1,bio_prior_gated_species_head,4
Cefepime,J01,J01D,J01DE,cell_wall,0.0,1,bio_prior_gated_species_head,4
