model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
implicit_species_no_enrichment,3,9,Klebsiella_Oxytoca,256,4222,0.9337233022082909,0.7298167978170649,23,150.56521739130434
implicit_species_no_enrichment,3,10,Klebsiella_Pneumoniae,3850,68131,0.869922186929456,0.7468944253782155,31,2175.8064516129034
implicit_species_no_enrichment,3,11,Klebsiella_Variicola,135,2144,0.926205823516337,0.7445617346815104,13,93.46153846153847
implicit_species_no_enrichment,3,12,Morganella_Morganii,156,2560,0.9307346285022151,0.6603329410714731,22,87.31818181818181
implicit_species_no_enrichment,3,13,Proteus_Mirabilis,457,8258,0.9175922401963694,0.7355541155740218,27,271.8888888888889
implicit_species_no_enrichment,3,14,Proteus_Vulgaris,83,1240,0.9595416146456781,0.6089706434529503,13,61.92307692307692
implicit_species_no_enrichment,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9508461536426585,0.8080744488894297,15,674.9333333333333
implicit_species_no_enrichment,3,16,Serratia_Marcescens,257,4001,0.9608709252271742,0.5656525234094318,19,146.21052631578948
implicit_species_no_enrichment,3,17,Staphylococcus_Aureus,1453,28324,0.9358348530760984,0.7762162383696283,33,714.939393939394
implicit_species_no_enrichment,3,18,Staphylococcus_Capitis,82,1753,0.8975820139034201,0.7332962733330537,22,64.95454545454545
implicit_species_no_enrichment,3,19,Staphylococcus_Epidermidis,1142,23131,0.9276035035023124,0.8090570956663679,34,643.3235294117648
implicit_species_no_enrichment,3,20,Staphylococcus_Haemolyticus,66,1369,0.9222273591205629,0.7765108650737166,24,46.0
