model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
species_only,4,8,Aztreonam,4324,0.8447861566604954
species_only,4,9,Benzylpenicillin,134,0.9353099730458222
species_only,4,10,Caspofungin,66,0.9637096774193549
species_only,4,11,Cefazolin,1854,0.9283281700899678
species_only,4,12,Cefepime,10036,0.8855686200456326
species_only,4,13,Cefixime,3028,0.785197829450184
species_only,4,14,Cefotaxime,3898,0.8867735414677972
species_only,4,15,Cefoxitin,1210,0.9558586695917451
species_only,4,16,Cefpodoxime,1277,0.8925686547070477
species_only,4,17,Ceftazidime,7747,0.8364826453177563
species_only,4,18,Ceftazidime-Avibactam,7,1.0
species_only,4,19,Ceftobiprole,5,1.0
species_only,4,20,Ceftolozane-Tazobactam,13,0.5909090909090908
species_only,4,21,Ceftriaxone,5322,0.8877374356944994
species_only,4,22,Cefuroxime,6755,0.8776650076788693
species_only,4,23,Chloramphenicol,1570,0.9471121925109655
species_only,4,24,Ciprofloxacin,12231,0.8656347391735277
species_only,4,25,Clarithromycin,247,0.7436599160737092
species_only,4,26,Clindamycin,3303,0.8886441061739085
species_only,4,27,Colistin,7746,0.9793101111910074
species_only,4,28,Cotrimoxazol,268,0.8808668582375477
species_only,4,29,Cotrimoxazole,5518,0.8581529992406985
species_only,4,30,Daptomycin,3530,0.8881168774148227
species_only,4,31,Doxycycline,159,0.5915233415233415
species_only,4,32,Ertapenem,7313,0.9223059753220408
species_only,4,33,Erythromycin,3438,0.893938643956822
species_only,4,34,Fluconazole,62,0.6736842105263159
species_only,4,35,Fosfomycin,6095,0.7442387614371286
species_only,4,36,Fusidic acid,2429,0.8376660944751733
species_only,4,37,Gentamicin,8379,0.9070503876737714
species_only,4,38,Gentamicin_high_level,122,0.738095238095238
species_only,4,39,Imipenem,11516,0.9704733055054412
species_only,4,40,Itraconazole,58,0.6439909297052154
species_only,4,41,Levofloxacin,9180,0.8795084890728031
species_only,4,42,Linezolid,3850,0.8157620041753653
species_only,4,43,Meropenem,9718,0.94425160545512
species_only,4,44,Meropenem_with_meningitis,22,0.8095238095238096
species_only,4,45,Meropenem_without_meningitis,9,1.0
species_only,4,46,Micafungin,65,0.8898305084745763
species_only,4,47,Minocycline,2024,0.8793861137121325
species_only,4,48,Moxifloxacin,195,0.9814814814814815
species_only,4,49,Mupirocin,1632,0.9510421815785137
species_only,4,50,Nitrofurantoin,4312,0.8706518250121051
species_only,4,51,Norfloxacin,5059,0.8656454630495791
species_only,4,52,Oxacillin,3056,0.9131741503985173
species_only,4,53,Penicillin,3443,0.9453388084037945
species_only,4,54,Penicillin_with_meningitis,43,0.7982954545454545
species_only,4,55,Penicillin_with_other_infections,44,0.7904761904761904
species_only,4,56,Penicillin_with_pneumonia,44,0.8
species_only,4,57,Piperacillin,3823,0.9195325308154716
species_only,4,58,Piperacillin-Tazobactam,5791,0.8664752311982032
species_only,4,59,Polymyxin B,551,1.0
species_only,4,60,Posaconazole,59,0.6363636363636364
species_only,4,61,Pristinamycin,1401,0.9628158933758428
species_only,4,62,Rifampicin,2248,0.8736750883274448
species_only,4,63,Strepomycin_high_level,16,0.7166666666666667
species_only,4,64,Teicoplanin,2829,0.9344765854412447
species_only,4,65,Tetracycline,3312,0.9100712893441496
species_only,4,66,Ticarcillin,1704,0.9271913905887318
species_only,4,67,Tigecycline,3560,0.9964915196009974
