model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
bio_prior_gated_species_head,2,37,Imipenem,11485,0.9710132118611469
bio_prior_gated_species_head,2,38,Itraconazole,56,0.38461538461538464
bio_prior_gated_species_head,2,39,Levofloxacin,9167,0.8878624008026187
bio_prior_gated_species_head,2,40,Linezolid,3965,0.8823122362869198
bio_prior_gated_species_head,2,41,Meropenem,9688,0.9470038659793815
bio_prior_gated_species_head,2,42,Meropenem_with_meningitis,23,0.6666666666666666
bio_prior_gated_species_head,2,43,Micafungin,62,0.9887005649717514
bio_prior_gated_species_head,2,44,Minocycline,1938,0.8901375345664829
bio_prior_gated_species_head,2,45,Moxifloxacin,175,0.9861667273389152
bio_prior_gated_species_head,2,46,Mupirocin,1653,0.9679347491535858
bio_prior_gated_species_head,2,47,Nitrofurantoin,4235,0.9059888027954262
bio_prior_gated_species_head,2,48,Norfloxacin,5007,0.8725879478581353
bio_prior_gated_species_head,2,49,Oxacillin,3157,0.9178292251690067
bio_prior_gated_species_head,2,50,Penicillin,3495,0.9521709714450808
bio_prior_gated_species_head,2,51,Penicillin_with_meningitis,54,0.6885553470919324
bio_prior_gated_species_head,2,52,Penicillin_with_other_infections,54,0.6686507936507937
bio_prior_gated_species_head,2,53,Penicillin_with_pneumonia,54,0.8846153846153846
bio_prior_gated_species_head,2,54,Piperacillin,3680,0.9139539944073065
bio_prior_gated_species_head,2,55,Piperacillin-Tazobactam,5915,0.8803159830914884
bio_prior_gated_species_head,2,56,Polymyxin B,505,0.9985542168674699
bio_prior_gated_species_head,2,57,Posaconazole,61,0.41666666666666663
bio_prior_gated_species_head,2,58,Pristinamycin,1358,0.965299981398199
bio_prior_gated_species_head,2,59,Rifampicin,2354,0.8782553994548123
bio_prior_gated_species_head,2,60,Strepomycin_high_level,21,0.7211538461538461
bio_prior_gated_species_head,2,61,Teicoplanin,2891,0.9596102467389597
bio_prior_gated_species_head,2,62,Tetracycline,3378,0.9140362891477967
bio_prior_gated_species_head,2,63,Ticarcillin,1676,0.931289433056391
bio_prior_gated_species_head,2,64,Tigecycline,3713,0.9908091816314243
bio_prior_gated_species_head,2,65,Tobramycin,8954,0.8913791977711918
bio_prior_gated_species_head,2,66,Vancomycin,4271,0.9752199639825058
bio_prior_gated_species_head,2,67,Voriconazole,62,0.3278688524590164
bio_prior_gated_species_head,3,0,Amikacin,8823,0.8829618064237076
bio_prior_gated_species_head,3,1,Amoxicillin,51,0.8633540372670807
bio_prior_gated_species_head,3,2,Amoxicillin-Clavulanic acid,5725,0.9166741951266528
bio_prior_gated_species_head,3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.9
bio_prior_gated_species_head,3,4,Ampicillin,4313,0.9536017311820302
bio_prior_gated_species_head,3,5,Anidulafungin,54,0.8591269841269841
bio_prior_gated_species_head,3,6,Azithromycin,40,0.703125
bio_prior_gated_species_head,3,7,Aztreonam,4371,0.8525982288338506
bio_prior_gated_species_head,3,8,Benzylpenicillin,128,0.9035714285714287
bio_prior_gated_species_head,3,9,Caspofungin,58,0.9735849056603774
bio_prior_gated_species_head,3,10,Cefazolin,1929,0.9368170161180915
bio_prior_gated_species_head,3,11,Cefepime,10035,0.8881050531672408
bio_prior_gated_species_head,3,12,Cefixime,2989,0.7816677566505944
bio_prior_gated_species_head,3,13,Cefotaxime,3940,0.8895356742954703
bio_prior_gated_species_head,3,14,Cefoxitin,1292,0.9573907174722911
bio_prior_gated_species_head,3,15,Cefpodoxime,1199,0.9025375939849625
bio_prior_gated_species_head,3,16,Ceftazidime,7704,0.8513303383730336
