fold,antibiotic_id,antibiotic,n_val_pairs,auc
4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,0.9444444444444444
4,5,Ampicillin,4247,0.9600686844961654
4,6,Anidulafungin,63,0.5131195335276968
4,7,Azithromycin,40,0.7857142857142858
4,8,Aztreonam,4324,0.8329067211055277
4,9,Benzylpenicillin,134,0.8537735849056605
4,10,Caspofungin,66,0.8951612903225805
4,11,Cefazolin,1854,0.9154395122503254
4,12,Cefepime,10036,0.8689394229376077
4,13,Cefixime,3028,0.7801485774650527
4,14,Cefotaxime,3898,0.8833384805435455
4,15,Cefoxitin,1210,0.9514794253672397
4,16,Cefpodoxime,1277,0.8935236364830402
4,17,Ceftazidime,7747,0.835606125517983
4,18,Ceftazidime-Avibactam,7,1.0
4,19,Ceftobiprole,5,1.0
4,20,Ceftolozane-Tazobactam,13,0.5909090909090908
4,21,Ceftriaxone,5322,0.8765708506969494
4,22,Cefuroxime,6755,0.8508327062623489
4,23,Chloramphenicol,1570,0.9443419566118954
4,24,Ciprofloxacin,12231,0.8585783257185462
4,25,Clarithromycin,247,0.7558839627805145
4,26,Clindamycin,3303,0.8811676209258982
4,27,Colistin,7746,0.975956707803607
4,28,Cotrimoxazol,268,0.8669779693486589
4,29,Cotrimoxazole,5518,0.8507269907429846
4,30,Daptomycin,3530,0.9247453459782227
4,31,Doxycycline,159,0.7610565110565111
4,32,Ertapenem,7313,0.9252560110395819
4,33,Erythromycin,3438,0.8870094877346971
4,34,Fluconazole,62,0.7263157894736842
4,35,Fosfomycin,6095,0.7271270490161413
4,36,Fusidic acid,2429,0.825492720452667
4,37,Gentamicin,8379,0.9040891199972203
4,38,Gentamicin_high_level,122,0.6845238095238095
4,39,Imipenem,11516,0.9672873237652365
4,40,Itraconazole,58,0.6213151927437641
4,41,Levofloxacin,9180,0.8724060550299176
4,42,Linezolid,3850,0.8902951751333796
4,43,Meropenem,9718,0.9436374384108794
4,44,Meropenem_with_meningitis,22,0.6
4,45,Meropenem_without_meningitis,9,1.0
4,46,Micafungin,65,0.8672316384180789
4,47,Minocycline,2024,0.8769773417108839
4,48,Moxifloxacin,195,0.9965059399021663
4,49,Mupirocin,1632,0.9511554621848739
4,50,Nitrofurantoin,4312,0.8739691633071646
4,51,Norfloxacin,5059,0.8584993275374265
4,52,Oxacillin,3056,0.9003940962489676
4,53,Penicillin,3443,0.9383536409008411
4,54,Penicillin_with_meningitis,43,0.7784090909090908
