model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,4,20,Staphylococcus_Haemolyticus,64,1371,0.9198093130160891,0.8153153420053959,24,47.125
species_multihead_no_enrichment,4,21,Staphylococcus_Hominis,125,2611,0.827370461110908,0.6916008768554812,22,89.72727272727273
species_multihead_no_enrichment,4,22,Staphylococcus_Lugdunensis,100,2090,0.9139038983288224,0.6740977831321376,20,69.25
species_multihead_no_enrichment,4,23,Stenotrophomonas_Maltophilia,130,839,0.9785489925687582,0.6893987033074561,6,55.0
species_multihead_no_enrichment,4,24,Streptococcus_Pneumoniae,92,979,0.8446253857771358,0.7366099697037946,23,35.91304347826087
implicit_species_hypernetwork_no_enrichment,0,0,Campylobacter_Jejuni,81,190,0.9055059523809523,0.7832217208079277,3,57.333333333333336
implicit_species_hypernetwork_no_enrichment,0,1,Candida_Albicans,53,403,0.8841904761904761,0.7940044313433289,8,50.375
implicit_species_hypernetwork_no_enrichment,0,2,Citrobacter_Freundii,131,2099,0.8814302886217108,0.6452174191605732,23,79.0
implicit_species_hypernetwork_no_enrichment,0,3,Citrobacter_Koseri,160,2567,0.9513034047333153,0.6783016346120574,17,101.70588235294117
implicit_species_hypernetwork_no_enrichment,0,4,Enterobacter_Cloacae,345,5131,0.886630230147283,0.5929722290859719,24,189.125
implicit_species_hypernetwork_no_enrichment,0,5,Enterococcus_Faecalis,925,14081,0.9885637131663607,0.6801009816249595,21,534.8095238095239
implicit_species_hypernetwork_no_enrichment,0,6,Enterococcus_Faecium,465,5028,0.9768371229398527,0.8260241437505798,21,198.47619047619048
implicit_species_hypernetwork_no_enrichment,0,7,Escherichia_Coli,1533,24374,0.8643291255591032,0.7088066749300656,30,805.5666666666667
implicit_species_hypernetwork_no_enrichment,0,8,Haemophilus_Influenzae,170,579,0.8232383808095952,0.5950678302605321,12,37.916666666666664
