model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Gentamicin_high_level,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Imipenem,0.4743318442299006,0.31725896185380664,122.6,121.4,1.2,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Itraconazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Levofloxacin,0.6235420310252983,0.08002182324450481,111.6,103.4,8.2,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Linezolid,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Meropenem,0.7215758402965035,0.33578549672478025,114.8,114.0,0.8,5,3
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Meropenem_with_meningitis,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Meropenem_without_meningitis,,,0.0,,,3,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Micafungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Minocycline,,,0.2,1.0,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Moxifloxacin,,,0.2,0.0,1.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Mupirocin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Nitrofurantoin,,,12.8,12.8,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Norfloxacin,0.6010611280651222,0.16438274168640435,69.6,63.6,6.0,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Oxacillin,,,0.4,1.0,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Penicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Penicillin_with_meningitis,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Penicillin_with_other_infections,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Penicillin_with_pneumonia,,,0.0,,,5,0
