model_mode,species,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_n_val_pairs,mean_n_antibiotics_with_auc,n_folds
species_multihead_no_enrichment,Pseudomonas_Aeruginosa,0.9488981046104144,0.003978115329477193,0.771393777610254,0.033083599121434874,12675.2,16.6,5
species_multihead_no_enrichment,Serratia_Marcescens,0.9701902433196032,0.0018043810228153695,0.6586220172099463,0.06941975240362507,3938.4,19.2,5
species_multihead_no_enrichment,Staphylococcus_Aureus,0.9288953223887505,0.00503912829408917,0.7641749767389208,0.016972646641017688,28443.4,33.6,5
species_multihead_no_enrichment,Staphylococcus_Capitis,0.9241932049942662,0.037442111925866176,0.8002537008981584,0.06132357056468596,1734.4,21.4,5
species_multihead_no_enrichment,Staphylococcus_Epidermidis,0.9293523219640478,0.0023071296771820966,0.8089776861720825,0.014970277600293298,23216.8,33.0,5
species_multihead_no_enrichment,Staphylococcus_Haemolyticus,0.935706698848772,0.0103768956298843,0.8571992300383695,0.026214679076190895,1303.0,24.2,5
species_multihead_no_enrichment,Staphylococcus_Hominis,0.8717146421365098,0.02731298792878503,0.7379502162215628,0.038759077584887745,3265.0,22.8,5
species_multihead_no_enrichment,Staphylococcus_Lugdunensis,0.9113515844092943,0.03456383361082871,0.6965779954444914,0.06952370632855634,1950.0,18.8,5
species_multihead_no_enrichment,Stenotrophomonas_Maltophilia,0.9785805374447962,0.0036455573957143036,0.7146430396249334,0.027896698090807852,761.6,6.4,5
species_multihead_no_enrichment,Streptococcus_Pneumoniae,0.8512895449675313,0.010849075111268728,0.765877001626981,0.05152840480762375,1041.2,23.8,5
